-2.75282,	-2.13809
-2.6451,	-1.66068
-2.53967,	-1.83415
-2.44094,	-1.83741
-2.34628,	-1.61696
-2.2406,	-1.63141
-2.13734,	-1.56918
-2.03858,	-1.55555
-1.9353,	-1.48981
-1.83529,	-1.48602
-1.73337,	-1.47166
-1.63459,	-1.44748
-1.53147,	-1.47813
-1.43478,	-1.56937
-1.33493,	-1.66479
-1.22879,	-1.78619
-1.12905,	-1.95057
-1.0313,	-2.17337
-0.93174,	-2.45738
-0.83478,	-2.77588
-0.73219,	-3.13866
-0.62846,	-3.57953
-0.53145,	-3.86778
-0.43098,	-3.97164
-2.75705,	-2.01218
-2.64306,	-1.57341
-2.53825,	-1.73915
-2.44018,	-1.75578
-2.34552,	-1.53955
-2.23986,	-1.56385
-2.13597,	-1.50936
-2.03784,	-1.48941
-1.93521,	-1.4293
-1.83459,	-1.44309
-1.73393,	-1.43015
-1.63262,	-1.40524
-1.53075,	-1.42395
-1.43218,	-1.53064
-1.33486,	-1.62328
-1.22935,	-1.74398
-1.12899,	-1.91328
-1.03186,	-2.12835
-0.93166,	-2.4039
-0.8315,	-2.70478
-0.73014,	-3.04365
-0.63268,	-3.44658
-0.53319,	-3.7728
-0.43211,	-3.89003
-2.75365,	-2.26124
-2.64524,	-1.75075
-2.5373,	-1.93194
-2.44043,	-1.91622
-2.34449,	-1.68449
-2.24196,	-1.68982
-2.13805,	-1.62196
-2.03804,	-1.61888
-1.93665,	-1.54049
-1.83409,	-1.52541
-1.73153,	-1.50893
-1.63276,	-1.48757
-1.53406,	-1.51686
-1.43862,	-1.59825
-1.33563,	-1.70631
-1.22695,	-1.82487
-1.13101,	-1.9914
-1.03136,	-2.21489
-0.93245,	-2.50453
-0.83298,	-2.83919
-0.73425,	-3.24
-0.63184,	-3.71537
-0.53474,	-3.94803
-0.43236,	-4.04624
