-2.75039,-1.88321
-2.66983,-1.30666
-2.5545,-1.63984
-2.44708,-1.55198
-2.35229,-1.45335
-2.25434,-1.25529
-2.1485,-1.19584
-2.04897,-1.09015
-1.95103,-1.18338
-1.85308,-1.09544
-1.75829,-1.11938
-1.65561,-1.08299
-1.55766,-1.16379
-1.45024,-1.16119
-1.35545,-1.2988
-1.25118,-1.33169
-1.15798,-1.50837
-1.06003,-1.75435
-0.96051,-2.04298
-0.84992,-2.42229
-0.75829,-2.8192
-0.65877,-3.13447
-0.55608,-3.47819
-0.45814,-3.75614
-2.75513,-1.74107
-2.67141,-1.20008
-2.55608,-1.49773
-2.44866,-1.44539
-2.35229,-1.35211
-2.25118,-1.13631
-2.15008,-1.123
-2.05371,-1.01551
-1.94945,-1.12301
-1.85466,-1.02083
-1.75671,-1.02525
-1.65877,-1.04211
-1.56082,-1.11935
-1.45656,-1.1114
-1.35387,-1.24908
-1.24803,-1.29442
-1.15324,-1.47644
-1.06003,-1.70995
-0.95893,-1.98083
-0.84834,-2.35303
-0.75987,-2.72149
-0.65719,-3.04745
-0.56082,-3.4071
-0.45972,-3.68686
-2.75197,-2.01464
-2.66509,-1.39729
-2.54976,-1.76244
-2.43918,-1.63198
-2.34755,-1.51912
-2.25434,-1.32634
-2.15008,-1.25622
-2.04897,-1.14521
-1.95103,-1.20825
-1.8594,-1.13446
-1.75355,-1.18158
-1.65561,-1.11674
-1.55766,-1.20286
-1.45814,-1.20019
-1.35861,-1.33607
-1.25592,-1.36895
-1.15482,-1.54925
-1.06003,-1.78455
-0.96051,-2.08916
-0.85782,-2.48084
-0.76461,-2.88309
-0.65877,-3.20019
-0.56082,-3.53676
-0.47077,-3.82708
