-2.64978,-1.30665
-2.55088,-1.49761
-2.44468,-1.32151
-2.34684,-1.28731
-2.2428,-1.33994
-2.13208,-1.2773
-2.03896,-1.20588
-1.93646,-1.2337
-1.84164,-1.1215
-1.73603,-1.19009
-1.62842,-1.08845
-1.53077,-1.13226
-1.42187,-1.16359
-1.32912,-1.24643
-1.22851,-1.39483
-1.12631,-1.54677
-1.02603,-1.82815
-0.92103,-2.14852
-0.82716,-2.4317
-0.72718,-2.83897
-0.62709,-3.20369
-0.52685,-3.5028
-0.42633,-3.68666
-2.65278,-1.22333
-2.54897,-1.37171
-2.44603,-1.21337
-2.34339,-1.18268
-2.24901,-1.25664
-2.13665,-1.1798
-2.03723,-1.15445
-1.93315,-1.18936
-1.8399,-1.06475
-1.73591,-1.14044
-1.63313,-1.04769
-1.53385,-1.08085
-1.42815,-1.11043
-1.32738,-1.19146
-1.22842,-1.35582
-1.12781,-1.50245
-1.02591,-1.77851
-0.92088,-2.08469
-0.82378,-2.35899
-0.71893,-2.74319
-0.62524,-3.10084
-0.5202,-3.40348
-0.41975,-3.61393
-2.65318,-1.38823
-2.54802,-1.64121
-2.44811,-1.4155
-2.34706,-1.37773
-2.23977,-1.40908
-2.1339,-1.36951
-2.03743,-1.23779
-1.93656,-1.27449
-1.84016,-1.17291
-1.7361,-1.21845
-1.63332,-1.12926
-1.52767,-1.17657
-1.42834,-1.19022
-1.33083,-1.29254
-1.23178,-1.42145
-1.12966,-1.60353
-1.02292,-1.86714
-0.92112,-2.18575
-0.8305,-2.48846
-0.73056,-2.91346
-0.63206,-3.27109
-0.52382,-3.57371
-0.42809,-3.75405
